timestamp_c,frame.number,frame.len,frame.protocols,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.frag,wlan.seq,llc.type,ip.hdr_len,ip.len,ip.id,ip.flags,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq_raw,tcp.ack_raw,tcp.hdr_len,tcp.flags,tcp.window_size,tcp.options,udp.srcport,udp.dstport,udp.length,data.data,data.len,wlan.fc.type,wlan.fc.subtype,time_since_last_packet,class
28105.9752,60.0,24.0,0,0,1,1,1,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.0,Benign
28105.9755,61.0,24.0,0,0,1,1,1,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.0002999999996973,Benign
28107.09931,75.0,104.0,0,0,4,1,4,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.123810000000958,Benign
28114.7857,122.0,86.0,2,44,1,0,1,0,0,0,14,2048,20,52,39340,64,128,6,2,4,62951,53,723862127,0,32,2,64240,1,0,0,0,0,0,2,8,7.686389999998937,Benign
28114.88188,124.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0961800000004586,Benign
28114.98812,128.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.1062400000009802,Benign
28115.002,130.0,86.0,2,44,1,0,1,0,0,0,16,2048,20,52,39341,64,128,6,2,4,55125,53,4045876660,0,32,2,64240,1,0,0,0,0,0,2,8,0.0138799999986076,Benign
28115.18882,133.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.1868199999989883,Benign
28115.21483,135.0,86.0,2,44,1,0,1,0,0,0,17,2048,20,52,39342,64,128,6,2,4,51533,53,594698260,0,32,2,64240,1,0,0,0,0,0,2,8,0.0260100000014062,Benign
28118.33192,152.0,225.0,3,44,0,1,0,1,0,0,32,2048,20,191,31,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,171,154,163,2,8,3.1170899999997346,Benign
28118.36318,154.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0312599999997473,Benign
28118.42292,161.0,86.0,2,44,1,0,1,0,0,0,73,2048,20,52,39353,64,128,6,2,4,59299,53,896820386,0,32,2,64240,1,0,0,0,0,0,2,8,0.0597400000006018,Benign
28118.43395,163.0,225.0,3,44,0,1,0,1,0,0,33,2048,20,191,32,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,171,153,163,2,8,0.0110299999978451,Benign
28118.46561,165.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0316600000005564,Benign
28118.53622,167.0,226.0,3,44,0,1,0,1,0,0,34,2048,20,192,33,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,172,155,164,2,8,0.0706100000024889,Benign
28118.56804,169.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0318199999965145,Benign
28118.6254,171.0,86.0,2,44,1,0,1,0,0,0,74,2048,20,52,39354,64,128,6,2,4,62808,53,1482263009,0,32,2,64240,1,0,0,0,0,0,2,8,0.057360000002518,Benign
28118.63832,173.0,226.0,3,44,0,1,0,1,0,0,35,2048,20,192,34,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,172,156,164,2,8,0.0129199999973934,Benign
28118.67046,175.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0321400000029825,Benign
28118.74021,177.0,223.0,3,44,0,1,0,1,0,0,36,2048,20,189,35,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,169,157,161,2,8,0.0697499999987485,Benign
28118.77287,179.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0326600000007601,Benign
28121.90208,222.0,228.0,3,44,0,1,0,1,0,0,75,2048,20,194,72,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174,133,166,2,8,3.129209999999148,Benign
28121.94742,232.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0453400000005785,Benign
28121.95416,234.0,75.0,3,44,0,1,0,1,0,0,76,2048,20,41,73,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8899,21,229,13,2,8,0.0067400000007182,Benign
28122.00414,237.0,227.0,3,44,0,1,0,1,0,0,77,2048,20,193,74,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,173,134,165,2,8,0.0499799999997776,Benign
28122.03025,239.0,86.0,2,44,1,0,1,0,0,0,98,2048,20,52,39356,64,128,6,2,4,55125,53,4045876660,0,32,2,64240,1,0,0,0,0,0,2,8,0.02610999999888,Benign
28122.03047,240.0,86.0,2,44,1,0,1,0,0,0,98,2048,20,52,39356,64,128,6,2,4,55125,53,4045876660,0,32,2,64240,1,0,0,0,0,0,2,8,0.0002200000017182,Benign
28122.03178,241.0,86.0,2,44,1,0,1,0,0,0,98,2048,20,52,39356,64,128,6,2,4,55125,53,4045876660,0,32,2,64240,1,0,0,0,0,0,2,8,0.0013099999996484,Benign
28122.10604,243.0,227.0,3,44,0,1,0,1,0,0,78,2048,20,193,75,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,173,131,165,2,8,0.0742599999975937,Benign
28122.15201,245.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0459700000028533,Benign
28122.2083,247.0,228.0,3,44,0,1,0,1,0,0,79,2048,20,194,76,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174,132,166,2,8,0.0562899999968067,Benign
28122.23157,249.0,86.0,2,44,1,0,1,0,0,0,99,2048,20,52,39357,64,128,6,2,4,51533,53,594698260,0,32,2,64240,1,0,0,0,0,0,2,8,0.0232700000015029,Benign
28122.25434,251.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.022769999999582,Benign
28122.25895,253.0,74.0,3,44,0,1,0,1,0,0,80,2048,20,40,77,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8899,20,218,12,2,8,0.0046099999999569,Benign
28122.25922,254.0,74.0,3,44,0,1,0,1,0,0,80,2048,20,40,77,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8899,20,218,12,2,8,0.0002700000004551,Benign
28122.31002,256.0,228.0,3,44,0,1,0,1,0,0,81,2048,20,194,78,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174,127,166,2,8,0.0508000000008905,Benign
28122.35682,258.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0468000000000756,Benign
28122.79747,259.0,98.0,0,320,3,1,3,1,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4406500000004598,Benign
28122.89205,260.0,98.0,0,320,3,1,3,1,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0945799999972223,Benign
28122.89474,261.0,98.0,0,320,3,1,3,1,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0026900000011664,Benign
28125.52323,279.0,227.0,3,44,0,1,0,1,0,0,117,2048,20,193,114,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,173,144,165,2,8,2.6284899999991467,Benign
28125.53186,281.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0086300000002665,Benign
28125.62487,287.0,86.0,2,44,1,0,1,0,0,0,114,2048,20,52,16777,64,128,6,2,3,50977,53,3062186483,0,32,2,64240,1,0,0,0,0,0,2,8,0.093010000000504,Benign
28125.62489,288.0,86.0,2,44,1,0,1,0,0,0,114,2048,20,52,16777,64,128,6,2,3,50977,53,3062186483,0,32,2,64240,1,0,0,0,0,0,2,8,1.9999999494757503e-05,Benign
28125.62491,290.0,227.0,3,44,0,1,0,1,0,0,118,2048,20,193,115,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,173,143,165,2,8,1.9999999494757503e-05,Benign
28125.6335,292.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.008590000001277,Benign
28125.72718,294.0,229.0,3,44,0,1,0,1,0,0,119,2048,20,195,116,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,175,145,167,2,8,0.0936800000017683,Benign
28125.7359,296.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.008719999997993,Benign
28125.79631,298.0,86.0,2,44,1,0,1,0,0,0,115,2048,20,52,16778,64,128,6,2,3,55186,53,1297781637,0,32,2,64240,1,0,0,0,0,0,2,8,0.0604100000018661,Benign
28125.82909,300.0,231.0,3,44,0,1,0,1,0,0,120,2048,20,197,117,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,177,146,169,2,8,0.0327799999977287,Benign
28125.83831,302.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0092199999999138,Benign
28125.93112,304.0,227.0,3,44,0,1,0,1,0,0,121,2048,20,193,118,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,173,147,165,2,8,0.0928100000019185,Benign
28125.94084,306.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0097199999981967,Benign
28129.04171,321.0,229.0,3,44,0,1,0,1,0,0,158,2048,20,195,155,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,175,130,167,2,8,3.1008700000020326,Benign
28129.11508,323.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0733699999982491,Benign
28129.1437,325.0,232.0,3,44,0,1,0,1,0,0,159,2048,20,198,156,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,178,128,170,2,8,0.0286200000009557,Benign
28129.21745,327.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0737499999995634,Benign
28129.24573,329.0,231.0,3,44,0,1,0,1,0,0,160,2048,20,197,157,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,177,129,169,2,8,0.0282799999986309,Benign
28129.31987,333.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0741400000006251,Benign
28129.34771,335.0,230.0,3,44,0,1,0,1,0,0,161,2048,20,196,158,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176,125,168,2,8,0.0278399999988323,Benign
28129.42258,336.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0748700000003737,Benign
28129.44974,338.0,228.0,3,44,0,1,0,1,0,0,162,2048,20,194,159,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174,126,166,2,8,0.0271600000014586,Benign
28129.52472,340.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0749800000012328,Benign
28129.52595,342.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0012299999980314,Benign
28132.25886,352.0,230.0,3,320,0,1,0,1,0,0,196,2048,20,196,192,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176,142,168,2,8,2.732910000002448,Benign
28132.59659,359.0,26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.3377299999992829,Benign
28132.62518,361.0,72.0,3,44,1,0,1,0,0,0,142,2048,20,38,29076,0,128,17,2,1,0,0,0,0,0,0,0,0,8889,8889,18,1,10,2,8,0.0285899999980756,Benign
